Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 02-Aug-2020 at 13:12:11.
NREL 5MW Tower                                                                                     
=================================================================================

            tower frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.242302E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist
 0.4596	 0.009068	 0.017767	 0.000000	 0.000000	 0.051580
 0.4866	 0.009531	 0.016474	 0.000000	 0.000000	 0.057268
 0.5137	 0.009955	 0.014892	 0.000000	 0.000000	 0.063291
 0.5407	 0.010333	 0.013016	 0.000000	 0.000000	 0.069654
 0.5677	 0.010656	 0.010834	 0.000000	 0.000000	 0.076401
 0.5947	 0.010915	 0.008340	 0.000000	 0.000000	 0.083552
 0.6217	 0.011103	 0.005531	 0.000000	 0.000000	 0.091133
 0.6487	 0.011210	 0.002391	 0.000000	 0.000000	 0.099201
 0.6758	 0.011228	-0.001071	 0.000000	 0.000000	 0.107764
 0.7028	 0.011148	-0.004864	 0.000000	 0.000000	 0.116875
 0.7298	 0.010961	-0.008996	 0.000000	 0.000000	 0.126596
 0.7568	 0.010658	-0.013451	 0.000000	 0.000000	 0.136940
 0.7839	 0.010230	-0.018244	 0.000000	 0.000000	 0.147992
 0.8109	 0.009667	-0.023367	 0.000000	 0.000000	 0.159802
 0.8379	 0.008962	-0.028811	 0.000000	 0.000000	 0.172421
 0.8649	 0.008106	-0.034591	 0.000000	 0.000000	 0.185967
 0.8919	 0.007089	-0.040681	 0.000000	 0.000000	 0.200464
 0.9189	 0.005903	-0.047089	 0.000000	 0.000000	 0.216031
 0.9460	 0.004539	-0.053828	 0.000000	 0.000000	 0.232807
 0.9730	 0.002989	-0.060866	 0.000000	 0.000000	 0.250819
 1.0000	 0.001244	-0.068234	 0.000000	 0.000000	 0.270266


 -------- Mode No.   4  (freq = 0.136900E+01 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	-0.003076	-0.035117	 0.000000	 0.000000	 0.000000
 0.0035	-0.003200	-0.035754	 0.000000	 0.000000	 0.000188
 0.0104	-0.003453	-0.037003	 0.000000	 0.000000	 0.000563
 0.0174	-0.003715	-0.038220	 0.000000	 0.000000	 0.000938
 0.0244	-0.003985	-0.039403	 0.000000	 0.000000	 0.001313
 0.0313	-0.004264	-0.040554	 0.000000	 0.000000	 0.001689
 0.0383	-0.004550	-0.041672	 0.000000	 0.000000	 0.002064
 0.0453	-0.004844	-0.042758	 0.000000	 0.000000	 0.002439
 0.0522	-0.005145	-0.043812	 0.000000	 0.000000	 0.002814
 0.0592	-0.005454	-0.044833	 0.000000	 0.000000	 0.003189
 0.0662	-0.005770	-0.045823	 0.000000	 0.000000	 0.003564
 0.0731	-0.006092	-0.046781	 0.000000	 0.000000	 0.003940
 0.0801	-0.006421	-0.047708	 0.000000	 0.000000	 0.004315
 0.0870	-0.006757	-0.048603	 0.000000	 0.000000	 0.004690
 0.0940	-0.007098	-0.049467	 0.000000	 0.000000	 0.005065
 0.1010	-0.007445	-0.050300	 0.000000	 0.000000	 0.005440
 0.1079	-0.007799	-0.051102	 0.000000	 0.000000	 0.005815
 0.1149	-0.008157	-0.051874	 0.000000	 0.000000	 0.006190
 0.1219	-0.008521	-0.052615	 0.000000	 0.000000	 0.006565
 0.1288	-0.008890	-0.053327	 0.000000	 0.000000	 0.006940
 0.1358	-0.009264	-0.054009	 0.000000	 0.000000	 0.007315
 0.1399	-0.009486	-0.054397	 0.000000	 0.000000	 0.007536
 0.1497	-0.010025	-0.055284	 0.000000	 0.000000	 0.008065
 0.1567	-0.010412	-0.055879	 0.000000	 0.000000	 0.008440
 0.1636	-0.010803	-0.056444	 0.000000	 0.000000	 0.008814
 0.1706	-0.011198	-0.056982	 0.000000	 0.000000	 0.009189
 0.1776	-0.011597	-0.057492	 0.000000	 0.000000	 0.009564
 0.1845	-0.011999	-0.057974	 0.000000	 0.000000	 0.009939
 0.1915	-0.012404	-0.058429	 0.000000	 0.000000	 0.010313
 0.1985	-0.012812	-0.058857	 0.000000	 0.000000	 0.010688
 0.2054	-0.013224	-0.059259	 0.000000	 0.000000	 0.011062
 0.2124	-0.013638	-0.059635	 0.000000	 0.000000	 0.011437
 0.2194	-0.014054	-0.059986	 0.000000	 0.000000	 0.011811
 0.2263	-0.014473	-0.060311	 0.000000	 0.000000	 0.012186
 0.2333	-0.014894	-0.060611	 0.000000	 0.000000	 0.012560
 0.2403	-0.015317	-0.060887	 0.000000	 0.000000	 0.012934
 0.2472	-0.015742	-0.061140	 0.000000	 0.000000	 0.013309
 0.2507	-0.015955	-0.061257	 0.000000	 0.000000	 0.013496
 0.3203	-0.020340	-0.063858	 0.000000	 0.000000	 0.021770
 0.3797	-0.024102	-0.062274	 0.000000	 0.000000	 0.029753
 0.4248	-0.026831	-0.058476	 0.000000	 0.000000	 0.036459
 0.4596	-0.028791	-0.053895	 0.000000	 0.000000	 0.042070
 0.4866	-0.030186	-0.049303	 0.000000	 0.000000	 0.046708
 0.5137	-0.031446	-0.043769	 0.000000	 0.000000	 0.051619
 0.5407	-0.032542	-0.037283	 0.000000	 0.000000	 0.056807
 0.5677	-0.033450	-0.029808	 0.000000	 0.000000	 0.062308
 0.5947	-0.034141	-0.021330	 0.000000	 0.000000	 0.068138
 0.6217	-0.034591	-0.011844	 0.000000	 0.000000	 0.074318
 0.6487	-0.034769	-0.001307	 0.000000	 0.000000	 0.080895
 0.6758	-0.034649	 0.010248	 0.000000	 0.000000	 0.087875
 0.7028	-0.034203	 0.022840	 0.000000	 0.000000	 0.095302
 0.7298	-0.033401	 0.036490	 0.000000	 0.000000	 0.103225
 0.7568	-0.032218	 0.051141	 0.000000	 0.000000	 0.111655
 0.7839	-0.030624	 0.066826	 0.000000	 0.000000	 0.120662
 0.8109	-0.028592	 0.083516	 0.000000	 0.000000	 0.130287
 0.8379	-0.026097	 0.101171	 0.000000	 0.000000	 0.140569
 0.8649	-0.023111	 0.119835	 0.000000	 0.000000	 0.151607
 0.8919	-0.019608	 0.139410	 0.000000	 0.000000	 0.163418
 0.9189	-0.015563	 0.159919	 0.000000	 0.000000	 0.176101
 0.9460	-0.010950	 0.181398	 0.000000	 0.000000	 0.189768
 0.9730	-0.005745	 0.203735	 0.000000	 0.000000	 0.204440
 1.0000	 0.000076	 0.227032	 0.000000	 0.000000	 0.220281


 -------- Mode No.   5  (freq = 0.152304E+01 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.005601	 0.063626	 0.000000
 0.0035	 0.000000	 0.000000	 0.005825	 0.064754	 0.000000
 0.0104	 0.000000	 0.000000	 0.006284	 0.066964	 0.000000
 0.0174	 0.000000	 0.000000	 0.006757	 0.069111	 0.000000
 0.0244	 0.000000	 0.000000	 0.007246	 0.071194	 0.000000
 0.0313	 0.000000	 0.000000	 0.007749	 0.073214	 0.000000
 0.0383	 0.000000	 0.000000	 0.008266	 0.075171	 0.000000
 0.0453	 0.000000	 0.000000	 0.008796	 0.077065	 0.000000
 0.0522	 0.000000	 0.000000	 0.009339	 0.078897	 0.000000
 0.0592	 0.000000	 0.000000	 0.009894	 0.080668	 0.000000
 0.0662	 0.000000	 0.000000	 0.010462	 0.082376	 0.000000
 0.0731	 0.000000	 0.000000	 0.011041	 0.084024	 0.000000
 0.0801	 0.000000	 0.000000	 0.011632	 0.085611	 0.000000
 0.0870	 0.000000	 0.000000	 0.012234	 0.087138	 0.000000
 0.0940	 0.000000	 0.000000	 0.012846	 0.088604	 0.000000
 0.1010	 0.000000	 0.000000	 0.013468	 0.090012	 0.000000
 0.1079	 0.000000	 0.000000	 0.014099	 0.091360	 0.000000
 0.1149	 0.000000	 0.000000	 0.014740	 0.092651	 0.000000
 0.1219	 0.000000	 0.000000	 0.015389	 0.093883	 0.000000
 0.1288	 0.000000	 0.000000	 0.016047	 0.095058	 0.000000
 0.1358	 0.000000	 0.000000	 0.016713	 0.096177	 0.000000
 0.1399	 0.000000	 0.000000	 0.017109	 0.096810	 0.000000
 0.1497	 0.000000	 0.000000	 0.018067	 0.098247	 0.000000
 0.1567	 0.000000	 0.000000	 0.018755	 0.099200	 0.000000
 0.1636	 0.000000	 0.000000	 0.019449	 0.100098	 0.000000
 0.1706	 0.000000	 0.000000	 0.020149	 0.100944	 0.000000
 0.1776	 0.000000	 0.000000	 0.020855	 0.101737	 0.000000
 0.1845	 0.000000	 0.000000	 0.021566	 0.102478	 0.000000
 0.1915	 0.000000	 0.000000	 0.022282	 0.103168	 0.000000
 0.1985	 0.000000	 0.000000	 0.023003	 0.103809	 0.000000
 0.2054	 0.000000	 0.000000	 0.023728	 0.104400	 0.000000
 0.2124	 0.000000	 0.000000	 0.024456	 0.104942	 0.000000
 0.2194	 0.000000	 0.000000	 0.025189	 0.105438	 0.000000
 0.2263	 0.000000	 0.000000	 0.025925	 0.105887	 0.000000
 0.2333	 0.000000	 0.000000	 0.026664	 0.106290	 0.000000
 0.2403	 0.000000	 0.000000	 0.027405	 0.106649	 0.000000
 0.2472	 0.000000	 0.000000	 0.028149	 0.106965	 0.000000
 0.2507	 0.000000	 0.000000	 0.028522	 0.107106	 0.000000
 0.3203	 0.000000	 0.000000	 0.036086	 0.108708	 0.000000
 0.3797	 0.000000	 0.000000	 0.042402	 0.103012	 0.000000
 0.4248	 0.000000	 0.000000	 0.046855	 0.093995	 0.000000
 0.4596	 0.000000	 0.000000	 0.049962	 0.084127	 0.000000
